"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,info_s1_r1_e1,,text,"Record ID",,,,,,y,,,,,,,
info_recruit_s1_r1_e1,info_s1_r1_e1,,radio,"Are you recruited from SONA Systems or from elsewhere?","1, SONA Systems | 2, Elsewhere",,,,,,,y,,,,,
info_where_s1_r1_e1,info_s1_r1_e1,,notes,"Where were you recruited?",,,,,,,"[info_recruit_s1_r1_e1] = '2'",y,,,,,
info_fullname_s1_r1_e1,info_s1_r1_e1,,text,"What is your full name?",,,,,,y,,y,,,,,
info_email_s1_r1_e1,info_s1_r1_e1,,text,"What is your email address? Make sure this is correct, as this is what we will be using to contact you.",,,email,,,y,,y,,,,,
info_phone_s1_r1_e1,info_s1_r1_e1,,text,"What is your phone number?",,,,,,y,,y,,,,,
info_age_s1_r1_e1,info_s1_r1_e1,,text,"What's your age?",,,integer,18,24,,,y,,,,,
info_vision_s1_r1_e1,info_s1_r1_e1,,radio,"How do you describe your vision?","2, Perfectly normal | 1, Not normal, however it has been corrected (For example, you wear glasses, had corrective surgery, et cetera) | 0, Not normal and not corrected",,,,,,,y,,,,,
info_colorblind_s1_r1_e1,info_s1_r1_e1,,yesno,"Are you colorblind?",,,,,,,,y,,,,,
info_injury_s1_r1_e1,info_s1_r1_e1,,yesno,"Have you ever had an injury to the head that's caused you to be knocked out for a period of time (E.g. from a fall, blow to the head, road traffic accident)?",,,,,,,,y,,,,,
info_english_s1_r1_e1,info_s1_r1_e1,,yesno,"Are you fluent in English?",,,,,,,,y,,,,,
info_internet_s1_r1_e1,info_s1_r1_e1,,yesno,"Do you have an internet connection that you are willing to use as part of a study?",,,,,,,,y,,,,,
info_webcam_s1_r1_e1,info_s1_r1_e1,,yesno,"Do you have a webcam or built-in camera that you are willing to use as part of a study?",,,,,,,,y,,,,,
info_record_s1_r1_e1,info_s1_r1_e1,,yesno,"Are you willing to record yourself via a webcam as part of a study?",,,,,,,,y,,,,,
info_computer_s1_r1_e1,info_s1_r1_e1,,yesno,"Do you have a desktop or laptop computer that you are willing to use to complete this study (cannot use phone/tablet)?",,,,,,,,y,,,,,
info_mobile_s1_r1_e1,info_s1_r1_e1,,yesno,"Are you on mobile right now?",,,,,,,,y,,,,,
info_mobile_remind_s1_r1_e1,info_s1_r1_e1,,radio,"Note that for the rest of Part 1 and Part 2, you should be on a desktop or laptop to complete the surveys that follow.","1, Okay",,,,,,"[info_mobile_s1_r1_e1] = '1' or [info_mobile_s1_r1_e1] = '0'",y,,,,,
info_note_s1_r1_e1,info_s1_r1_e1,,radio,"You will receive an email concerning your eligibility in the next couple of minutes; please do not fill out this form again.

Please note that the day/time of part 2 of the study will be scheduled after you complete part 1). Even if you have already signed up for part 2 on Sona, you will have to select a new available time on Calendly, which will be offered to you when you complete part 1 of the study. (The time listed for part 2 on Sona is not the actual date of the part 2 visit; the one selected on Calendly will be the actual meeting time.) For any questions, please email ndclaba@fiu.edu

Do you understand that you will shortly receive an email regarding your eligibility for this study and that you will need to schedule part 2 after completing part 1?","1, Yes",,,,,,,y,LV,,,,
consent_1a,consent_1a,,descriptive,"Please view the consent form written below. You may also download the consent form, which is attached below.",,,,,,,,,,,,,
consent_yn,consent_1a,,radio,"<div class=""rich-text-field-label""><p><span style=""font-weight: normal;"">Please read the following information carefully.</span></p> <p><span style=""text-decoration: underline;"">SUMMARY INFORMATION</span><br /><span style=""font-weight: normal;"">Things you should know about this study:</span></p> <div title=""Page 1""> <p>Purpose: <span style=""font-weight: normal;"">The purpose of the study is to understand how differences among people relate to mental health. We are interested in speech and reading. We are also interested in personality, social, and cognitive differences.</span></p> <p>Procedures:<span style=""font-weight: normal;""> If you choose to participate, you will be asked to complete a series of surveys and behavioral tasks over the internet. We may also use your contact information to invite you to participate in additional studies. You are only agreeing to participate in this one part of the study and agreeing to be contacted for future studies. You are free to withdraw at any time. You are free to decline any future study. You can also request that your contact information be deleted at any time.</span></p> <p>Duration:<span style=""font-weight: normal;""> This study will take about 1.5 hours.</span></p> <p>Risks:<span style=""font-weight: normal;""> You might feel some slight discomfort when performing the behavioral tasks.</span></p> <p><span style=""font-weight: normal;"">You might feel slightly anxious or upset when responding to the surveys about thoughts and feelings. There is a potential for a breach of confidentiality. However, this is very unlikely.</span></p> <p>Benefits: <span style=""font-weight: normal;"">There is no direct benefit to you from this research. This study may improve the science of cognition and mental health.</span></p> <p>Alternatives: <span style=""font-weight: normal;"">There are no known alternatives available to you other than not taking part in this study.</span></p> <p>Participation:<span style=""font-weight: normal;"">Taking part in this study is voluntary.</span></p> <p><span>Please carefully read the entire document before agreeing to participate. Take as much time as you need. Ask any questions you have (see ""Researcher Contact Information"" below).</span></p> <p> </p> </div> <p><span style=""text-decoration: underline;"">PURPOSE OF THE STUDY<br /></span><span style=""font-weight: normal;"">The purpose of the study is to understand how differences among people relate to mental health. We are interested in personality, social, and cognitive differences.</span></p> <div title=""Page 1""><span style=""text-decoration: underline;"">NUMBER OF STUDY PARTICIPANTS</span><br /><span style=""font-weight: normal;"">About 350 people will participate in this study.</span><br /><br /><span style=""text-decoration: underline;"">DURATION OF THE STUDY</span><br /><span style=""font-weight: normal;"">This study will take about 1.5 hours. We might contact you for future studies. Future studies will involve a consent process (like this one). You can request that your contact information be deleted at any time.</span><br /><br /><span style=""text-decoration: underline;"">PROCEDURES</span><br /><span style=""font-weight: normal;"">If you agree to be in the study, we will ask you to do the following things:</span><br /><br /><span style=""font-weight: normal;"">1. Complete surveys over the internet. The surveys will assess personal information, cognitive abilities, social abilities, and mental health.</span><br /><span style=""font-weight: normal;"">2. Complete computer tasks over the internet.</span><br /><span style=""font-weight: normal;"">3. We may contact you for future studies.</span></div> <div title=""Page 1""> </div> <div title=""Page 1""><span style=""font-weight: normal;"">You can stop at any time. You can decline future studies. You can request that your contact information be deleted at any time.</span><br /><br /><span style=""text-decoration: underline;"">RISKS AND/OR DISCOMFORTS</span><br /><span style=""font-weight: normal;"">The study has the following possible risks to you. You might feel some slight discomfort when performing the tasks. Some questionnaires ask about your thoughts and feelings, and some ask about past traumatic events. You might feel slightly anxious or upset when responding to these questions. However, any such discomfort from either the tasks or surveys is likely to be minimal and short-lived, and answering sensitive questions will be optional. There is a potential for a breach of confidentiality. However, this is very unlikely. Many protocols have been put in place to minimize this possibility.</span><br /><br /><span style=""text-decoration: underline;"">BENEFITS</span><br /><span style=""font-weight: normal;"">This study does not provide any direct benefits to you. This study may improve the science of cognition and mental health.</span><br /><br /><span style=""text-decoration: underline;"">ALTERNATIVES</span><br /><span style=""font-weight: normal;"">There are no known alternatives available to you other than not taking part in this study. Any significant new findings developed during the course of the research which may relate to your willingness to continue participation will be provided to you.</span><br /><br /><span style=""text-decoration: underline;"">CONFIDENTIALITY</span><br /><span style=""font-weight: normal;"">The records of this study will be kept private and will be protected to the fullest extent provided by law. In any report that we publish we will not include any information that will make it possible to identify you. Research records will be stored securely. Only the researcher team will have access to the records. Your records may be inspected by authorized University or other agents who will also keep the information confidential.</span></div> <div title=""Page 1""><br /><span style=""font-weight: normal;"">All identifiable data about you will be password-protected and encrypted. This data will be kept on secure servers or hard drives kept in secure, locked offices. This information will only be accessible by authorized study personnel. These study personnel completed appropriate training and provided written consent to maintain strict confidentiality. Your contact information will be kept separate from study data. Study data will be associated with a unique ID number. Your contact information may be used to contact you for future studies. You can request that your contact information be deleted at any time.</span><br /><br /><span style=""text-decoration: underline;"">USE OF YOUR INFORMATION</span><br /><span style=""font-weight: normal;"">Identifiers about you might be removed from the identifiable private information. After such removal, the information could be used for future research studies or distributed to another investigator for future research studies. This can be done without additional informed consent from you or your legally authorized representative.</span><br /><br /><span style=""font-weight: normal;"">If you participate in additional studies, the data will be linked via an anonymous number. This will allow the data to be analyzed together, but not identify you in any way.</span></div> <div title=""Page 1""><br /><span style=""font-weight: normal;"">Anonymized data from this study may be made publicly accessible. For example, anonymized data may be posted to the Open Science Framework (https://osf.io/) or the OpenNeuro project (https://openneuro.org/). This data may include survey responses, task performance, and analyses or information supplied by researchers. The anonymized data can be used for re-analysis but also for additional analyses, by the same or other researchers. Any personal information that could directly identify you will be removed before data and results are made public. No method for re-identifying the data will be made public.</span><br /><br /><span style=""text-decoration: underline;"">COMPENSATION & COSTS</span><br /><span style=""font-weight: normal;"">You will receive a payment of either 1.5 credits or $22.50 for this study. There are no costs to you for participating.</span><br /><span style=""font-weight: normal;"">If you signed up for this study through the Sona Systems then you will receive .5 credits per half hour. You will receive 1.5 credits for this study because it will take about 1.5 hours.</span><br /><span style=""font-weight: normal;"">If you did NOT sign up for this study through the Sona Systems then you will receive $7.50 per half hour. You will receive $22.50 because this study will take about 1.5 hours. If you stop early, you will be paid $7.50 for each half hour completed, rounded up to the nearest hour.</span></div> <ul> <li title=""Page 1""><span style=""font-weight: normal;"">If you did NOT sign up for this study through Prolific, then you will receive payment through Venmo. Your phone number or email will need to be validated before you are paid on Venmo.</span></li> <li title=""Page 1""><span style=""font-weight: normal;"">If you DID sign up for this study through Prolific, then you will be paid through the Prolific website after your submission is reviewed and approved.</span></li> </ul> <p><span style=""text-decoration: underline;"">RIGHT TO DECLINE OR WITHDRAW</span><br /><span style=""font-weight: normal;"">Your participation in this study is voluntary. You are free to participate in the study or withdraw your consent at any time during the study. You will not lose any benefits if you decide not to participate or if you quit the study early. The investigator reserves the right to remove you without your consent at such time that they feel it is in the best interest.</span><br /><br /><span style=""text-decoration: underline;"">RESEARCHER CONTACT INFORMATION</span><br /><span style=""font-weight: normal;"">If you have any questions about this study you may contact Dr. George Buzzell. gbuzzell@fiu.edu; 703-851-5843.</span><br /><br /><span style=""text-decoration: underline;"">IRB CONTACT INFORMATION</span><br /><span style=""font-weight: normal;"">If you would like to talk with someone about your rights of being a subject in this research study or about ethical issues with this research study, you may contact the FIU Office of Research Integrity by phone at 305-348-2494 or by email at ori@fiu.edu.</span><br /><br /><span style=""text-decoration: underline;"">PARTICIPANT AGREEMENT</span><br /><span style=""font-weight: normal;"">I have read the information in this consent form and agree to participate in this study. I have had a chance to ask any questions I have about this study, and they have been answered for me. By clicking on the ""consent to participate"" button below I am providing my informed consent.</span><br /><br />Do you consent? </p></div>","1, Consent to participate",,,,,,,y,LH,,,,
demo_b_mob_s1_r1_e1,demo_b_s1_r1_e1,,text,"In what month were you born (1-12)?",,,integer,1,12,y,,y,,,,,
demo_b_yob_s1_r1_e1,demo_b_s1_r1_e1,,text,"In what year were you born?",,,integer,1900,2050,,,y,,,,,
demo_b_hand_s1_r1_e1,demo_b_s1_r1_e1,,radio,"Are you right- or left-handed?","1, Right handed | 2, Left handed | 3, Ambidextrous (use right and left hand equally) | 4, Other (please specify)",,,,,,,y,,,,,
demo_b_otherhand_s1_r1_e1,demo_b_s1_r1_e1,,text,,,,,,,,[demo_b_hand_s1_r1_e1]='4',y,,,,,
demo_b_pronouns_s1_r1_e1,demo_b_s1_r1_e1,,radio,"What pronouns do you use to refer to yourself?","1, She/her/hers | 2, He/him/his | 3, They/them | 4, Prefer not to say | 5, Other (please specify)",,,,,,,y,,,,,
demo_b_otherpron_s1_r1_e1,demo_b_s1_r1_e1,,text,,,,,,,,"[demo_b_pronouns_s1_r1_e1] = '5'",y,,,,,
demo_b_sex_s1_r1_e1,demo_b_s1_r1_e1,,radio,"What is the biological sex you were assigned at birth?","1, Male | 2, Female | 3, Intersex | 4, Other | 5, Unknown | 6, Prefer not to say",,,,,,,y,,,,,
demo_b_gender_s1_r1_e1,demo_b_s1_r1_e1,,text,"How do you currently describe your gender identity? If you prefer not to answer, write: ""prefer not to answer.""",,,,,,,,y,,,,,
demo_b_orient_s1_r1_e1,demo_b_s1_r1_e1,,text,"How do you currently describe your sexual identity (sexual orientation/attraction)? If you prefer not to answer, write: ""prefer not to answer.""",,,,,,,,y,,,,,
